epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.143,0.46133,2.55353,1.03,0.31712,0.17187,0.22257,0.18621,0.39902,3.35758,0.79491,0.000364161,0.000364161,0.000364161
2,376.395,0.43714,1.72986,0.9838,0.4621,0.30629,0.36324,0.3155,0.42408,3.029,0.81014,0.000698137,0.000698137,0.000698137
3,548.302,0.44115,1.53571,0.98244,0.54915,0.7666,0.73537,0.58826,0.65883,2.71192,1.01529,0.00099545,0.00099545,0.00099545
4,716.446,0.46749,1.43619,0.98558,0.62079,0.73027,0.72672,0.64264,0.49554,2.40785,0.80747,0.000946016,0.000946016,0.000946016
5,882.107,0.44187,1.33431,0.96948,0.72131,0.74685,0.77207,0.62596,0.5086,2.11084,0.8556,0.000891022,0.000891022,0.000891022
6,1048.31,0.39084,1.22556,0.95017,0.7326,0.72247,0.74653,0.62724,0.55236,1.72398,0.88478,0.000836027,0.000836027,0.000836027
7,1211.6,0.38884,1.12119,0.94867,0.83207,0.82509,0.90392,0.82443,0.39446,1.22745,0.76271,0.000781033,0.000781033,0.000781033
8,1382.57,0.36449,1.01377,0.94648,0.86064,0.91,0.92988,0.86915,0.33706,1.10039,0.74439,0.000726038,0.000726038,0.000726038
9,1573.07,0.36142,0.93122,0.93579,0.84114,0.83881,0.94959,0.90614,0.30245,1.08564,0.69855,0.000671044,0.000671044,0.000671044
10,1777.87,0.35043,0.88601,0.93014,0.90492,0.94756,0.96673,0.90756,0.30304,0.87383,0.70971,0.000616049,0.000616049,0.000616049
11,1956.05,0.29682,0.86781,0.8694,0.96484,0.90319,0.98165,0.95978,0.25053,0.73058,0.63645,0.000561055,0.000561055,0.000561055
12,2119.69,0.26336,0.73133,0.86351,0.91773,0.9461,0.97974,0.9527,0.2504,0.74586,0.6409,0.00050606,0.00050606,0.00050606
13,2290.78,0.25245,0.65629,0.85271,0.95167,0.93695,0.9824,0.97356,0.20768,0.63611,0.62468,0.000451066,0.000451066,0.000451066
14,2471.27,0.23544,0.58208,0.85627,0.95213,0.93114,0.97849,0.96989,0.21327,0.67839,0.62748,0.000396071,0.000396071,0.000396071
15,2659.93,0.21611,0.52207,0.83925,0.92196,0.95062,0.9827,0.97074,0.21144,0.59309,0.62034,0.000341077,0.000341077,0.000341077
16,2828.5,0.21374,0.47116,0.84988,0.98903,0.93707,0.99118,0.97656,0.20812,0.48519,0.61601,0.000286083,0.000286083,0.000286083
17,3013.53,0.18994,0.42483,0.8383,0.93175,0.98462,0.98935,0.9875,0.19047,0.48427,0.6256,0.000231088,0.000231088,0.000231088
18,3202.84,0.17683,0.38316,0.83062,0.98214,0.9576,0.99265,0.99075,0.17553,0.45003,0.60652,0.000176094,0.000176094,0.000176094
19,3402.19,0.16414,0.37272,0.82302,0.97239,0.97692,0.99202,0.99086,0.18049,0.46741,0.61265,0.000121099,0.000121099,0.000121099
20,3580.82,0.15496,0.32858,0.83578,0.99227,0.97289,0.99419,0.99419,0.16919,0.40555,0.60733,6.61045e-05,6.61045e-05,6.61045e-05
